date,category_name,amount,notes,user_id
2018-06-01,Misc,10,Matt's Missionary Fund,6
2018-06-01,Entertainment,9.95,MoviePass,6
2018-06-01,Misc,45,May Phone Bill,6
2018-06-01,Dining Out,4.71,Dollar Pizza Friday,6
2018-06-01,Misc,10,Brooke Pilatesology,6
2018-06-01,Misc,45,"Accidentally paid June Phone Bill, automatic payments now for upcoming month",6
2018-06-02,EBT,61.83,Groceries,6
2018-06-03,Studio Income,121.8,PM income,6
2018-06-03,Tax Savings,30.45,Tax Savings,6
2018-06-03,Taxes Witheld,13.74,Taxes Withheld,6
2018-06-04,Misc,4.5,Laundry,6
2018-06-08,Dining Out,3,Pizza,6
2018-06-08,Dining Out,10,Dumplings w/Jesse and Chris,6
2018-06-09,EBT,9.68,Ice Cream w/ Michael and Mary,6
2018-06-10,EBT,57.2,Groceries,6
2018-06-11,Misc,4.5,Laundry,6
2018-06-17,Studio Income,125.47,PM income,6
2018-06-17,Tax Savings,31.37,Tax Savings,6
2018-06-17,Taxes Witheld,14.16,Taxes Withheld,6
2018-06-13,EBT,8.27,Groceries/Snacks for school,6
2018-06-14,Misc,10,Donated to Ana RedCross Birthday,6
2018-06-15,Dining Out,3,Pizza,6
2018-06-13,Misc,17.2,Justin Birthday Panorama,6
2018-06-17,EBT,39.68,Groceries,6
2018-06-17,Misc,1,Toilet Paper,6
2018-06-17,Misc,2,Dancers on train,6
2018-06-20,Misc,20,haircut,6
2028-06-21,EBT,1.5,Avocado,6
2018-06-22,Dining Out,3,Pizza Friday Acces labs,6
2018-06-22,Misc,13.99,New Socks,6
2018-06-23,Dining Out,4,Dumplings w/ Brooke,6
2018-06-23,EBT,47.86,Groceries,6
2018-06-24,Misc,4.5,Laundry,6
2018-06-24,Dining Out,6,Fun w/ Mary and Michael,6
2018-06-24,Household,8.31,Groceries and tp,6
2018-06-24,Studio Income,50.624,PM income,6
2018-06-24,Tax Savings,12.656,Savings,6
2018-06-24,Taxes Witheld,5.72,Taxes Withheld,6
2018-06-25,EBT,10.08,Lunch/Snacks,6
2018-06-28,EBT,7.98,Snacks,6
2018-06-28,Misc,10,Stuff from John,6
2018-06-29,EBT,8.48,Snacks,6
2018-06-29,Entertainment,13,Climbing w.Jesse and Chris,6
2018-06-29,Misc,14.99,Swimsuit for LI,6
2018-06-30,EBT,26.33,Groceries,6
2018-07-01,Living Space,944,January Rent,6
2018-07-01,Misc,10.81,Apple Music,6
2018-07-01,Transportation,121,Unlimited Metro Pass,6
2018-07-01,Misc,10,Matt's Missionary Fund,6
2018-07-01,Entertainment,9.95,MoviePass,6
2018-07-01,Misc,45,May Phone Bill,6
2018-07-01,Misc,10,Brooke Pilatesology,6
2018-07-02,EBT,1,Avocado for lunch,6
2018-07-04,EBT,10.22,Groceries,6
2018-07-05,Entertainment,3,IceCream for Jesse,6
2018-07-05,Misc,8.7,Toothbrushes,6
2018-07-07,Misc,2,Dancers on train,6
2018-07-08,Misc,5.5,Laundry,6
2018-07-06,Entertainment,9,Drink at Daryl going away,6
2018-07-08,EBT,41.14,Groceries,6
2018-07-08,Studio Income,32.38,PM income,6
2018-07-08,Tax Savings,8.07,Tax Savings,6
2018-07-08,Taxes Witheld,3.65,Taxes Withheld,6
2018-07-09,Gift Expense,29.87,Deodorants for fun,6
2018-07-11,Misc,20,Donation to Karina's Birthday Charity,6
2018-07-12,Dining Out,7,Dumplings w/the Dumbo Boys,6
2018-07-12,Entertainment,2,"Really good dancers on train, front tuck damn",6
2018-07-13,Household,7.6,TP and Ziplocs,6
2018-07-14,EBT,46.59,Groceries,6
2018-07-15,Misc,4.5,Laundry,6
2018-07-19,Dining Out,3,Dumplings,6
2018-07-21,Entertainment,5.84,Incredibles 2 w/Mike (Surge Moviepass),6
2018-07-20,Dining Out,20.74,Junior's after movie,6
2018-07-21,EBT,33.32,Groceries,6
2018-07-22,EBT,24.84,Groceries,6
2018-07-22,Household,3.26,Paper Towels,6
2018-07-22,Studio Income,55.03,Pilates Movement Income (I have given up putting stuff into savings.),6
2018-07-26,Dining Out,3,Dumplings,6
2018-07-27,Misc,1.75,Gatorade to ease the pain,6
2018-07-28,Studio Income,40.36,Pilates Movement Income,6
2018-07-28,Taxes Witheld,3.64,Taxes Withheld,6
2018-07-22,Taxes Witheld,4.97,Taxes Withheld,6
2018-07-29,Misc,4.5,Laundry,6
2018-07-29,EBT,28.16,Groceries,6
2018-07-28,Dining Out,1,Pizza lunch,6
2018-07-27,Dining Out,14.68,flip Sigi w/brooke,6
2018-07-30,EBT,10.37,Groceries,6
2018-07-31,Misc,20,NYPL Donation,6
